timestamp,total_ema_risk,fft_high_freq_mean,jawline_edge_variance,jawline_roi_area,landmark_lost_count
21:29:18,0.512362,49.361294,1600.836914,2148,0
21:29:19,0.505002,49.4063,1498.218088,2144,0
21:29:20,0.493925,49.270039,1787.073336,2096,0
21:29:21,0.48427,49.056564,1691.412893,2179,0
21:29:22,0.478607,49.360447,1553.303972,2182,0
21:29:23,0.477112,49.585037,1686.846014,2154,0
21:29:24,0.470489,49.550697,1854.207663,2150,0
21:29:25,0.464259,49.170105,1458.932373,2196,0
21:29:26,0.456227,49.119293,1621.840225,2208,0
21:29:27,0.447803,48.439018,1581.876628,2100,0
21:29:28,0.444189,48.738419,1941.5691,2084,0
21:29:29,0.435579,49.460964,1553.810986,2308,0
21:29:30,0.426342,48.111488,2026.499814,2203,0
21:29:31,0.418041,49.535046,1600.796519,2245,0
21:29:32,0.416772,48.816242,1286.055316,2308,0
21:29:33,0.408072,47.207741,1792.253648,2285,1
21:29:34,0.397556,47.7271,2132.313202,2195,1
21:29:35,0.384162,47.7271,2132.313202,2195,6
21:29:36,0.39645,47.7271,2132.313202,2195,12
21:29:37,0.390504,55.407692,4856.615071,2060,3
21:29:38,0.383311,55.407692,4856.615071,2060,6
21:29:39,0.391952,55.407692,4856.615071,2060,9
21:29:40,0.401489,55.407692,4856.615071,2060,12
21:29:41,0.40202,53.043495,3314.857643,2194,0
21:29:42,0.403804,47.685085,1357.499921,2233,0
21:29:43,0.407759,50.142185,1731.918565,2254,0
21:29:44,0.399171,50.475864,1527.556344,2274,0
21:29:45,0.388758,50.527279,1535.879712,2308,0
21:29:46,0.393561,49.745388,1475.40307,2285,0
21:29:47,0.390398,50.295174,1543.657697,2293,0
21:29:48,0.375062,49.354729,1674.018588,2271,0
21:29:49,0.373116,50.387539,1922.697737,2235,0
21:29:50,0.370634,50.149746,1937.691703,2143,0
21:29:51,0.366801,49.89566,1556.900211,2135,0
21:29:52,0.364366,51.894272,2954.089169,2048,0
21:29:53,0.361345,52.277618,2986.420332,2041,0
21:29:54,0.357333,50.486618,2776.833985,2118,1
21:29:55,0.351655,51.526695,2882.214,2472,0
21:29:56,0.345516,50.090481,2460.503165,2329,0
21:29:57,0.342123,51.804829,2124.04685,2588,0
21:29:58,0.340201,51.40826,2128.506986,2397,0
21:29:59,0.337126,50.834,2485.365443,2300,0
21:30:00,0.332426,51.447876,2306.401943,2335,0
21:30:01,0.327182,51.308811,1753.502592,2369,0
21:30:02,0.322027,50.913929,3554.772879,2158,0
21:30:04,0.318433,50.214977,2961.997057,2130,0
21:30:05,0.311617,50.214977,2961.997057,2130,4
21:30:06,0.307608,51.601971,2490.614002,2442,0
21:30:07,0.304605,51.332706,2259.17758,2420,0
21:30:08,0.301808,50.761127,2015.567413,2380,0
21:30:09,0.298032,50.555717,1934.900625,2220,0
21:30:10,0.296154,50.014286,2134.092445,2086,0
21:30:11,0.293347,50.01899,1597.747245,1970,0
21:30:12,0.289645,50.239491,2251.752045,2073,0
21:30:13,0.289437,47.162418,2572.887414,2102,0
21:30:14,0.290552,50.201649,2085.078164,2604,0
21:30:15,0.287685,49.9921,1527.667193,2632,0
21:30:16,0.287144,50.008846,1791.67068,2656,0
21:30:17,0.286934,50.13633,1917.769182,2688,0
21:30:18,0.284918,49.934299,2358.364591,2695,0
21:30:19,0.283126,50.112057,1991.150305,2708,0
21:30:20,0.281823,49.518425,2153.550125,2566,0
21:30:21,0.279681,49.653,1952.630589,2593,0
21:30:22,0.277763,49.679585,1884.517634,2652,0
21:30:23,0.273788,49.857632,1917.709461,2692,0
21:30:24,0.273308,50.99015,2720.916398,2332,0
21:30:25,0.269938,51.012833,3378.737197,2221,0
21:30:26,0.268675,52.293545,3579.624095,2361,0
21:30:27,0.266111,51.376408,4052.447923,2242,0
21:30:28,0.265157,51.518089,4340.110792,2132,0
21:30:29,0.264212,50.542496,3982.449372,2011,0
21:30:30,0.261826,50.289238,6608.700732,1825,2
21:30:31,0.257783,50.289238,6608.700732,1825,5
21:30:32,0.269558,50.289238,6608.700732,1825,10
21:30:33,0.291005,50.289238,6608.700732,1825,15
21:30:34,0.315541,50.289238,6608.700732,1825,20
21:30:35,0.330874,50.289238,6608.700732,1825,23
21:30:36,0.366765,50.289238,6608.700732,1825,29
21:30:37,0.406557,50.289238,6608.700732,1825,34
21:30:38,0.444294,50.289238,6608.700732,1825,40
21:30:39,0.464177,50.289238,6608.700732,1825,44
21:30:40,0.479315,50.289238,6608.700732,1825,47
21:30:41,0.490472,50.47263,6945.06859,1742,2
21:30:42,0.492202,50.059776,1791.239975,2401,0
21:30:43,0.493283,48.963432,1532.538265,2360,0
21:30:44,0.491153,49.756435,1519.691171,2520,0
21:30:45,0.486947,49.387161,1393.520115,2388,0
21:30:46,0.485263,49.16003,1524.734533,2359,0
21:30:47,0.474691,49.943031,1536.630201,2405,0
21:30:48,0.464774,49.443684,1836.938127,2404,0
21:30:49,0.451981,49.710751,1996.748849,2370,0
21:30:50,0.439197,49.465881,1866.266955,2258,0
21:30:51,0.43286,49.633919,1831.546192,2258,0
21:30:52,0.422736,49.666656,1901.158814,2274,0
21:30:53,0.411765,49.597397,1711.29625,2251,0
21:30:54,0.396061,49.523129,1769.346911,2251,0
